 , ,Attribute Set,Attribute Code *,Scope,Catalog Input Type for Store Owner,"Default Value
(Depends on Input Type)",Unique Value,Value Required,Input Validation for Store Owner,Apply To *,Use in Quick Search,Use in Advanced Search,Comparable in Frontend,Use In Layered Navigation,Use In Search Results Layered Navigation,Use for Promo Rule Conditions,Position,Allow HTML Tags on Frontend,Visible on Product View Page on Frontend,Used in Product Listing,Used for Sorting in Product Listing,,"Admin Titles / 
Default Store View","Options / Values
Same as NE's Property Description",,,,,,
,Fred,b01_Computer_Case,b01000_case-fan-120mm,Website,Text Area,N/A,No,No,None,All Product Types,No,,Yes,Filterable (With Results),Yes,No,6,,Yes,Yes,No,,120mm Fans,N/A,,,,,,
,Fred,b01_Computer_Case,b01010_case-fan-140mm,Website,Text Area,N/A,No,No,None,All Product Types,No,,Yes,Filterable (With Results),Yes,No,7,,Yes,Yes,No,,140mm Fans,N/A,,,,,,
,Fred,b01_Computer_Case,b01030_case-fan-200mm,Website,Text Area,N/A,No,No,None,All Product Types,No,,Yes,Filterable (With Results),Yes,No,8,,Yes,Yes,No,,200mm Fans,N/A,,,,,,
,Fred,b01_Computer_Case,b01040_case-fan-220mm,Website,Text Area,N/A,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,220mm Fans,N/A,,,,,,
,Fred,b01_Computer_Case,b01050_case-fan-230mm,Website,Text Area,N/A,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,230mm Fans,N/A,,,,,,
,Fred,b01_Computer_Case,b01110_case-fan-80mm,Website,Text Area,N/A,No,No,None,All Product Types,No,,Yes,Filterable (With Results),Yes,No,5,,Yes,Yes,No,,80mm Fans,N/A,,,,,,
,Fred,b01_Computer_Case,b01120_case-fan-90mm,Website,Text Area,N/A,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,90mm Fans,N/A,,,,,,
,Fred,b01_Computer_Case,b01130_case-brand,Website,Text Field,N/A,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Brand,Rosewill,,,,,,
,Fred,b01_Computer_Case,b01140_case-material,Website,Text Area,N/A,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Material,"SECC Steal, SGCC Steel",,,,,,
,Fred,b01_Computer_Case,b01150_case-color,Website,Text Field,N/A,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Color,"Black, Blue, White,",,,,,,
,Fred,b01_Computer_Case,b01160_case-dimension,Website,Text Area,N/A,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Dimension  (H x W x D: inch/cm),N/A,,,,,,
,Fred,b01_Computer_Case,b01170_case-expansion-slot,Website,Dropdown,N/A,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Expansion Slot,"1,2,3,4,5,6,7,8,9,10,11,12",,,,,,
,Fred,b01_Computer_Case,b01200_case-front-ports,Website,Text Area,N/A,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Front Ports,N/A,,,,,,
