ItemNumber,PropertyCode,PropertyDescription,ValueCode,ValueDescription,UserInputed
00-996-240               ,1839,USB Acc_Brand                                     ,59027,Rosewill,
00-996-240               ,37445,USB Acc_Color                                     ,457605,White,
00-996-240               ,1843,USB Acc_Features                                  ,,,Moisturize your skin  Provide mist and lower temperature   Use it anywhere with powerbank power consumption    Package:  3ft Mini Usb connector  1 x User Manual  1 x spare water sponge
00-996-240               ,1840,USB Acc_Model                                     ,,,RU-101
00-996-240               ,1842,USB Acc_Specifications                            ,,,"Material: ABS, PP  Power Supply: DC5V/ 0.2A / Micro USB  Power Consumption: ≒ 2 w  Bottle size:300ml   Moisture Output: 10~35ml/h"
00-996-241               ,1839,USB Acc_Brand                                     ,59027,Rosewill,
00-996-241               ,37445,USB Acc_Color                                     ,457607,Silver,
00-996-241               ,1843,USB Acc_Features                                  ,,,Potable lighting   Changeable LED light "Gooseneck"  Metal case storage easy to carry with  Multiple use for   a. Table lighting  b. Camping   c. Automobile  d. Still object photo taken lighting source  Easy access with powerbank power anywhere with long hour usage.    Package:  USB connector  DC in jack  1 x Bottle cap humidifier  1 x spare water sponge
00-996-241               ,1840,USB Acc_Model                                     ,,,RU-102
00-996-241               ,1842,USB Acc_Specifications                            ,,,"Power Supply: DC5V  Power Consumption:  2 Watts  One (1) USB LED Touch-Activated Light on Gooseneck   One (1) USB LED Bulb  Life Cycle: 40,000 hours"
00-999-284               ,1881,Gift_Brand                                        ,18676,ABS,
00-999-284               ,1885,Gift_Features                                     ,,,Self-Powered 7 port USB Hub
00-999-284               ,1883,Gift_Model                                        ,,,INT7HUB
00-999-285               ,1881,Gift_Brand                                        ,18676,ABS,
00-999-285               ,1885,Gift_Features                                     ,,,"Solar device for charging mobile phone, PSP, MP3/MP4 player, PDA, and other portable devices.   Charge either via solar panel or a computer USB port. "
00-999-285               ,1883,Gift_Model                                        ,,,INTSLRC1
03-008-940               ,17665,HI - Gauges_Brand                                 ,155016,Rosewill,
03-008-940               ,17671,HI - Gauges_Cordless                              ,115080,Cordless,
03-008-940               ,19977,HI - Gauges_Features                              ,,,"Temperature Range: -35 to 500oC(-31 to 932oF)     Accuracy: ㊣3.0oC(㊣5.4oF) from -35~-20oC(-31~-4oF), ㊣2.0oC(㊣3.6oF) from -20~0oC(-4~32oF), ㊣1.5oC(㊣2.7oF) from 0~60oC(32~140oF), ㊣2.0oC(㊣3.6oF) from 60~100oC(140~212oF), ㊣2% from 100~500oC(212~932oF)     Distance/Spot Ratio: 10:1     Resolution: 0.1oC / 0.1oF     Response Time: 500ms     Emissivity: 0.95 fixed     Auto Power Off: 6 sec.     C/F Switchable    Backlight     Laser Sight Switchable    9V battery"
03-008-940               ,17666,HI - Gauges_Model                                 ,,,RTMT-11001
03-008-940               ,19975,HI - Gauges_Selling Unit                          ,159339,Each,
03-008-940               ,17667,HI - Gauges_Size/Dimensions                       ,,,6.14" x 3.94" x 1.26" / 0.3 lbs.
03-008-940R              ,17665,HI - Gauges_Brand                                 ,155016,Rosewill,
03-008-940R              ,17671,HI - Gauges_Cordless                              ,115080,Cordless,
03-008-940R              ,19977,HI - Gauges_Features                              ,,,"Temperature Range: -35 to 500oC(-31 to 932oF)     Accuracy: ㊣3.0oC(㊣5.4oF) from -35~-20oC(-31~-4oF), ㊣2.0oC(㊣3.6oF) from -20~0oC(-4~32oF), ㊣1.5oC(㊣2.7oF) from 0~60oC(32~140oF), ㊣2.0oC(㊣3.6oF) from 60~100oC(140~212oF), ㊣2% from 100~500oC(212~932oF)     Distance/Spot Ratio: 10:1     Resolution: 0.1oC / 0.1oF     Response Time: 500ms     Emissivity: 0.95 fixed     Auto Power Off: 6 sec.     C/F Switchable    Backlight     Laser Sight Switchable    9V battery"
03-008-940R              ,17666,HI - Gauges_Model                                 ,,,RTMT-11001
03-008-940R              ,19975,HI - Gauges_Selling Unit                          ,159339,Each,
03-008-940R              ,17667,HI - Gauges_Size/Dimensions                       ,,,6.14" x 3.94" x 1.26" / 0.3 lbs.
03-009-286               ,31132,LED Light Bulbs_Base                              ,281632,GU10,
03-009-286               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-009-286               ,31140,LED Light Bulbs_Color Temp Range                  ,281640,3000 K to 3300 K,3000K
03-009-286               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-009-286               ,36368,LED Light Bulbs_Directional                       ,435135,Yes,
03-009-286               ,31459,LED Light Bulbs_Features                          ,,,"Low Energy Consumption, Only 3 Watts    66.7 lm/watt Luminous efficacy    Emits out up to 200 lm @ Color Temp. 3000 Kelvin (Cool White Version)    3pcs HQ HIGH-POWER LED dies with frosted glass cover provides a soft, bright light, pleasant on the eyes    Over 25,000 Hour Life Time (based on IES Standard, rated life at least 70% lumen)    Estimated Yearly Energy Cost $0.36 (based on 3 hrs/day 11 cent /KWh)    Beam Angle: 20o    100~240Vac Input voltage (universal voltage)    Using constant current driver & isolated power supply with power factor >0.5 is safer and uses even less energy    20o viewing angle    -4oF to 104oF Operating Temperature    Low heat & low CO2 emission, Eco Friendly    RoHS, No mercury, 100% recyclable    CE & FCC Certificate    Dimension 2.1"" x dia. 1.9""    G.W. 1.6 oz"
03-009-286               ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-009-286               ,31130,LED Light Bulbs_Light Appearance                  ,281627,Warm White,
03-009-286               ,31131,LED Light Bulbs_Lumen Output                      ,,,200
03-009-286               ,31142,LED Light Bulbs_Lumen Range                       ,281656,200 to 399,200 to 400
03-009-286               ,31135,LED Light Bulbs_Model                             ,,,RLLB-12001
03-009-286               ,31133,LED Light Bulbs_Power Consumption                 ,303264,3 Watts,
03-009-286               ,31141,LED Light Bulbs_Shape                             ,281650,MR16,
03-009-286               ,31137,LED Light Bulbs_Voltage                           ,,,100 - 240V
03-009-286               ,31128,LED Light Bulbs_Wattage Equivalent                ,281602,35 Watt Equivalent,
03-009-317               ,17665,HI - Gauges_Brand                                 ,155016,Rosewill,
03-009-317               ,19977,HI - Gauges_Features                              ,,,"Splash proof (IP54)    Adjustable emissivity (from 0.1 to 1.0)    High distance/spot ratio (12:1)    Temperature Range: -60 to 550oC(-76 to 1022oF)    Accuracy:  +/-5.0oC(+/-9oF) from -60~-50oC(-76~-58oF)  +/-4.5oC(+/-8.1oF) from -50~-40oC(-58~-40oF)  +/-4.0oC(+/-7.2oF) from -40~-30oC(-40~-22oF)  +/-3.5oC(+/-6.3oF) from -30~-20oC(-22~-4oF)  +/-3.0oC(+/-5.4oF) from -20~-10oC(-4~14oF)  +/-2.5oC(+/-4.5oF) from -10~0oC(-4~32oF),  +/-2oC(+/-3.6oF) from 0~100oC(32~212oF),  +/-2% from 100~550oC(212~1022oF)    Resolution: 0.1oC / 0.1oF    Response Time: 1000ms    Backlight    Laser Sight Switchable    Battery: 2 x AAA (14hrs continuous use)"
03-009-317               ,17666,HI - Gauges_Model                                 ,,,RTMT-12001
03-009-317               ,17667,HI - Gauges_Size/Dimensions                       ,,,5.7" x 4.6" x 1.7" / 0.4 lbs.
03-009-935               ,31132,LED Light Bulbs_Base                              ,288571,Cand E12,E12
03-009-935               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-009-935               ,31140,LED Light Bulbs_Color Temp Range                  ,347299,2900 K to 3000 K,2800K-3000K
03-009-935               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-009-935               ,31459,LED Light Bulbs_Features                          ,,,Vibrant warm light for chandelier    White ceramic heat sink for superior heat dissipation    Great value 3 pack
03-009-935               ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-009-935               ,31130,LED Light Bulbs_Light Appearance                  ,281627,Warm White,
03-009-935               ,31131,LED Light Bulbs_Lumen Output                      ,,,230㊣10%
03-009-935               ,31142,LED Light Bulbs_Lumen Range                       ,281656,200 to 399,
03-009-935               ,31135,LED Light Bulbs_Model                             ,,,RL-CL3001-3P
03-009-935               ,31133,LED Light Bulbs_Power Consumption                 ,303264,3 Watts,
03-009-935               ,31141,LED Light Bulbs_Shape                             ,281654,Specialty,Candle light
03-009-935               ,31137,LED Light Bulbs_Voltage                           ,,,110㊣10 Volt
03-009-935               ,37621,LED Light Bulbs_Warranty                          ,,,2 years
03-009-935               ,31128,LED Light Bulbs_Wattage Equivalent                ,281600,25 Watt Equivalent,
03-105-009               ,30225,HILandscapelighting_Brand                         ,289127,Rosewill,
03-105-009               ,30257,HILandscapelighting_Description                   ,,,Powerful high-efficient polycrystalline silicon solar cell    Super bright 2 x white LED enables to decorate and light your garden    1 x 400mAh Ni-Cd AAA rechargeable battery    The sun charges the built-in battery during the day    Automatically turns on at night    8 hours duration after fully charged    Waterproof    No wiring needed; No energy costs    Maintenance free    No electrician needed; Easy Installation    4pcs per set    Approximate Height: 12 inch / 20 inch  with Stake    Approximate Diameter: 2 inch
03-105-009               ,30259,HILandscapelighting_Features                      ,276582,Solar,
03-105-009               ,30241,HILandscapelighting_Material                      ,289103,stainless steel,
03-105-009               ,30226,HILandscapelighting_Model                         ,,,RTLL-13001
03-105-009               ,30228,HILandscapelighting_Product Name                  ,,,Stainless Steel 2 LED Solar Lawn Garden Lights (4 Pack)
03-105-009               ,30230,HILandscapelighting_Type                          ,289100,Solar,
03-105-024               ,31132,LED Light Bulbs_Base                              ,,,E26
03-105-024               ,37620,LED Light Bulbs_Beam Angle                        ,,,230～
03-105-024               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-024               ,31140,LED Light Bulbs_Color Temp Range                  ,,,4700K-5000K
03-105-024               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-105-024               ,31459,LED Light Bulbs_Features                          ,,,"Better Efficiency  97.6 Lumen per watt. Provide better efficiency on every watt consumption.    Wide Angle Illumination  230～ beam angle which is the widest beam angle in Non-Omni directional LED bulbs.      Money Saving  Rosewill 8.2-Watt LED light bulb replaces your standard A19 up to 60-Watt bulb, saving you up to $136.13 in energy costs    Ceramic Base   Improved heat dissipating efficiency over alloy bases for superior lumen maintenance.    **Note: Package info shows 17 years lifespan is based on 3 Hrs/Day. The correct specification is 17 years lifespan based on 4 Hrs/Day."
03-105-024               ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-105-024               ,31130,LED Light Bulbs_Light Appearance                  ,281628,Cool White,
03-105-024               ,31131,LED Light Bulbs_Lumen Output                      ,288535,800,800+/-10%
03-105-024               ,31142,LED Light Bulbs_Lumen Range                       ,281659,800 to 1000,
03-105-024               ,31135,LED Light Bulbs_Model                             ,,,RL-W95001
03-105-024               ,31133,LED Light Bulbs_Power Consumption                 ,,,8.2W
03-105-024               ,31141,LED Light Bulbs_Shape                             ,281647,A19,A19 LED bulbs
03-105-024               ,31137,LED Light Bulbs_Voltage                           ,,,110V+/-10%
03-105-024               ,37621,LED Light Bulbs_Warranty                          ,,,2 years
03-105-024               ,31128,LED Light Bulbs_Wattage Equivalent                ,281607,60 Watt Equivalent,
03-105-025               ,31132,LED Light Bulbs_Base                              ,,,E26
03-105-025               ,37620,LED Light Bulbs_Beam Angle                        ,,,230～
03-105-025               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-025               ,31140,LED Light Bulbs_Color Temp Range                  ,,,2700K-3000K
03-105-025               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
