name,short_description,description,ne_description,brand,model_number,sku,weight_net,msrp,price,ne_item_descriptoin,name_long,feature,product_type,subcategory,ne_subcategory_by_code,manufacturer,manufacturer_code,ne_manufacturer_part,upc_number,length,width,height,weight,ne_length_cm,ne_width_cm,ne_height_cm,ne_package_weight_kg,oem,country_of_manufacture,mfrproductpagelink,restricted_item_mark,orm_d,msds_sheet,warning,return_policy,ne_part_warranty,ne_rma_refund_day,ne_rma_replacement_day,ne_labor_warranty,website_subcategory,ne_website_subcateogory_code,ne_ws_subcategory,ne_buyer,ne_merchandiser,large_flag,ewra,ne_product_specifications,attribute_set
"Rosewill RTMT-12001 - Splashproof, Adjustable Infrared Thermometer                                                                                                                                                         ",,,,Rosewill                                ,RTMT-12001          ,03-009-317               ,0.69,79.99,43,GAUGE ROSEWILL RTMT-12001 RTL      ,Rosewill RTMT-12001 Splash-proof (IP54) Adjustable Emissivity 12:1 Infrared Thermometer                                                                                                                                                         ,Splash-proof (IP54)  Temperature Range: -60 to 550?C(-76 to 1022?F)  High Distance/Spot Ratio: 12:1                                                                                                     ,Normal Item,HI - Gauges                                                 ,1870,Rosewill                                ,2177,RTMT-12001          ,898745051360,8.7,4.8,3,0.69,22.098,12.192,7.62,0.31297848,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,365,365,1870,HI - Gauges,Luke.S.Huang        ,Luke.S.Huang        ,S,,,c16_landscape-lighting
Rosewill RTLL-13001 - Stainless Steel Dual LED Solar Garden Lights (Set of 4)                                                                                                                                                                           ,,,,Rosewill                                ,RTLL-13001          ,03-105-009               ,3.72,39.99,15,SOLAR LIGHT ROSEWILL | RTLL-13001 R,Rosewill Stainless Steel Dual LED Solar Lawn Garden Lights (Set of 4)                                                                                                                                                                           ,"4-Piece Set  2X Super Bright White LED  8-Hour Duration on Full Charge  Approximate Height: 13""  (33cm)                                                                                                 ",Normal Item,HI - Landscape Lighting                                     ,2862,Rosewill                                ,2177,RTLL-13001          ,898745067347,15.8,10.2,5.3,3.72,40.132,25.908,13.462,1.68736224,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,365,365,2864,HI - LandscapeLighting,Luke.S.Huang        ,Luke.S.Huang        ,S,,,c16_landscape-lighting
"Rosewill RL-W95001 - A19 Non-Dimmable  Cool White LED Light Bulb - E26 Base, 60W Replacement",,,,Rosewill                                ,RL-W95001           ,03-105-024               ,0.29,13.95,7,LED BULB ROSEWILL RL-W95001 RTL    ,"ROSEWILL RL-W95001, A19 Non-Dimmable LED Light Bulb, E26 Base, 8.2 W, 60 W Replace, 800 Lumen, UL CE RoHS, 5000 K, Cool White, Wide Beam Angle 230¡ã                                                                                             ","230-Degree Wide Beam Angle   5000K Cool White  85.6% Energy Savings  UL, CE, and ROHS Listing; No Mercury or Lead  Non-Dimmable                                                                         ",Normal Item,HI - LED Light Bulbs                                        ,2894,Rosewill                                ,2177,RL-W95001           ,898745072006,5,2.8,2.8,0.29,12.7,7.112,7.112,0.13154168,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,730,730,2896,HI - LED Light Bulbs,Luke.S.Huang        ,Luke.S.Huang        ,S,,,c17_led-lightbulbs
"Rosewill RL-O53001 - A19 Non-Dimmable Warm White LED Light Bulb - E26 Base, 40W Replacement",,,,Rosewill                                ,RL-O53001           ,03-105-040               ,0.21,8.95,4,LED BULB ROSEWILL RL-O53001 RTL    ,"ROSEWILL RL-O53001, A19 Non-Dimmable LED Light Bulb, E26 Base, 5 W, 40 W Replace, 480 Lumen, UL FCC, 3000K, Warm White, Omni-Directional                                                                                                        ",Omni-Directional Bulb  Same Size and Appearance as a Traditional A19 Light Bulb  Lifespan: 22.8 Years (Based on 3 Hours Per Day)  Non-Dimmable  UL / FCC Safety                                         ,Normal Item,HI - LED Light Bulbs                                        ,2894,Rosewill                                ,2177,RL-O53001           ,840951112083,5.05,2.65,2.55,0.21,12.83,6.73,6.48,0.0953,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,365,365,2896,HI - LED Light Bulbs,Luke.S.Huang        ,Luke.S.Huang        ,S,,,c17_led-lightbulbs
Rosewill R519-BK - Black ATX Mid Tower Computer Case with 500W Power Supply                                                                                                                                                                     ,,,,Rosewill                                ,R519-BK             ,11-147-081               ,16.15,69.99,10,CASE ROSEWILL| R519-BK RT          ,Rosewill R519-BK - Black ATX Mid Tower Computer Case with 500W Power Supply                                                                                                                                                                     ,Steel ATX Mid Tower  2 x USB 2.0  Mounted with 500W ATX Power Supply  4 External Drive Bays  5 Internal Drive Bays  7 Expansion Slots                                                                   ,Normal Item,Cases (Computer Cases - ATX Form)                           ,7,Rosewill                                ,2177,R519-BK             ,898745012033,21.1,18.8,9.2,16.15,53.594,47.752,23.368,7.3255108,N,CHN,http://www.rosewill.com/products/1601/ProductDetail_Specifications.htm                                                                                                                                  ,N,N,,,44,Standard Return Policy,30,30,365,365,7,Cases (Computer Cases - ATX Form),Fion.J.Xu           ,Fion.J.Xu           ,L,,,b01_Computer_Case
"Rosewill R379-M - Black & Silver, Slim Micro ATX Computer Case with ATX 12V Flex 300W Power Supply Unit",,,,Rosewill                                ,R379-M              ,11-147-098               ,13.5,64.99,15,CASE ROSEWILL|R379-M RETAIL        ,"Rosewill R379-M - Black & Silver, 0.8mm SGCC Steel Slim Micro ATX Computer Case with ATX12V Flex 300W Power Supply                                                                                                                              ",SGCC Steel Micro ATX Slim Case  2 x USB 2.0  Mounted with 300W ATX Power Supply  2 External Drive Bays  1 Internal Drive Bays  4 Expansion Slots                                                        ,Normal Item,Cases (Computer Cases - ATX Form)                           ,7,Rosewill                                ,2177,R379-M              ,898745015522,19.3,15.2,5.9,13.5,49.022,38.608,14.986,6.123492,N,CHN,http://www.rosewill.com/product/product.aspx?productId=1037                                                                                                                                             ,N,N,,,44,Standard Return Policy,30,30,360,360,7,Cases (Computer Cases - ATX Form),Fion.J.Xu           ,Fion.J.Xu           ,L,,,b01_Computer_Case
"Rosewill R363-M-BK - Black, Ultra High Gloss Micro ATX Computer Case with 400W ATX 2.2 12V Power Supply Unit",,,,Rosewill                                ,R363-M-BK           ,11-147-099               ,16,64.99,15,CASE ROSEWILL|R363-M-BK RETAIL     ,"Rosewill R363-M-BK - Black, Ultra High Gloss Finished Micro ATX Computer Case with 400W ATX 2.2 12V Power Supply                                                                                                                                ",SGCC Steel Micro ATX Mid Tower  2 x USB 2.0  Mounted with 400W ATX Power Supply  3 External Drive Bays  2 Internal Drive Bays  4 Expansion Slots                                                        ,Normal Item,Cases (Computer Cases - ATX Form)                           ,7,Rosewill                                ,2177,R363-M-BK           ,898745015539,18.4,16.7,8.9,16,46.736,42.418,22.606,7.257472,N,CHN,http://www.rosewill.com/product/product.aspx?productId=1122                                                                                                                                             ,N,N,,,44,Standard Return Policy,30,30,360,360,7,Cases (Computer Cases - ATX Form),Fion.J.Xu           ,Fion.J.Xu           ,L,,,b01_Computer_Case
Rosewill BLACKHAWK - Gaming ATX Mid Tower Computer Case ,,,,Rosewill                                ,BlackHawk           ,11-147-107               ,23.15,99.99,10,CASE ROSEWILL|BLACKHAWK RTL        ,"Rosewill BLACKHAWK Gaming ATX Mid Tower Computer Case - Five (5) Preinstalled Fans, Side Window Panel, Top HDD Dock                                                                                                                             ","SECC Steel ATX Mid Tower  2 x USB 3.0, 4 x USB2.0  5 Fans Pre-Installed, Supports Up to 10 Fans  4 External 5.25"" Drive Bays  6 Internal 3.5"" Drive Bays  8 Expansion Slots                             ",Normal Item,Cases (Computer Cases - ATX Form)                           ,7,Rosewill                                ,2177,BlackHawk           ,898745016239,24,22.9,11.3,23.15,60.96,58.166,28.702,10.5006548,N,CHN,http://www.rosewill.com/products/1772/ProductDetail_Overview.htm                                                                                                                                        ,N,N,,,44,Standard Return Policy,30,30,365,365,7,Cases (Computer Cases - ATX Form),Fion.J.Xu           ,Fion.J.Xu           ,L,,,a01_Gaming_Case
"Rosewill RL-W93001 - A19 Non-Dimmable Warm White LED Light Bulb - E26 Base, 55-Watt Replacement",,,,Rosewill                                ,RL-W93001           ,03-105-025               ,0.29,13.95,7,LED BULB ROSEWILL RL-W93001 RTL    ,"ROSEWILL RL-W93001, A19 Non-Dimmable LED Light Bulb, E26 Base, 8.2 W, 55 W Replace, 660 Lumen, UL CE RoHS, 3000K Warm White, Wide Beam Angle 230¡ã                                                                                               ","230-Degree Wide Beam Angle   3000K Warm White  85.6% Energy Savings  UL, CE, and ROHS Listing; No Mercury or Lead  Non-Dimmable                                                                         ",Normal Item,HI - LED Light Bulbs                                        ,2894,Rosewill                                ,2177,RL-W93001           ,898745072013,5,2.8,2.7,0.29,12.7,7.112,6.858,0.13154168,N,CHN,http://www.rosewill.com/products/2711/ProductDetail_Overview.htm                                                                                                                                        ,N,N,,,44,Standard Return Policy,30,30,730,730,2896,HI - LED Light Bulbs,Luke.S.Huang        ,Luke.S.Huang        ,S,,,c17_led-lightbulbs
"Rosewill RL-W75001 - A19 Non-Dimmable Cool White LED Light Bulb - E26 Base, 55-Watt Replacement",,,,Rosewill                                ,RL-W75001           ,03-105-026               ,0.28,9.99,0,LED BULB ROSEWILL RL-W75001 RTL    ,"ROSEWILL RL-W75001, A19 Non-Dimmable LED Light Bulb, E26 Base, 6.5W, 55W Replace, 660Lumen, UL CE ROHS, 5000K, Cool White, Wide beam angle 230¡ã                                                                                                 ","Wide Beam angle 230¡ã  Non-Dimmable & No mercury or lead  UL, CE, and ROHS listing  5000K Cool White  86.8% energy savings                                                                               ",Normal Item,HI - LED Light Bulbs                                        ,2894,Rosewill                                ,2177,RL-W75001           ,898745072020,4.9,2.8,2.7,0.28,12.446,7.112,6.858,0.12700576,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,730,730,2896,HI - LED Light Bulbs,Luke.S.Huang        ,Luke.S.Huang        ,S,,,c17_led-lightbulbs
"Rosewill RL-W73001 - A19 Non-Dimmable Warm White LED Light Bulb - E26 Base, 50W Replacement",,,,Rosewill                                ,RL-W73001           ,03-105-027               ,0.29,11.95,2,LED BULB ROSEWILL RL-W73001 RTL    ,"ROSEWILL RL-W73001, A19 Non-Dimmable LED Light Bulb, E26 Base, 6.5 W, 50 W Replace, 560 Lumen, UL CE RoHS, 3000K, Warm White, Wide Beam Angle 230¡ã                                                                                              ","230-Degree Wide Beam Angle   3000K Warm White  86.8% Energy Savings  UL, CE, and ROHS Listing; No Mercury or Lead  Non-Dimmable                                                                         ",Normal Item,HI - LED Light Bulbs                                        ,2894,Rosewill                                ,2177,RL-W73001           ,898745072037,5,2.8,2.8,0.29,12.7,7.112,7.112,0.13154168,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,730,730,2896,HI - LED Light Bulbs,Luke.S.Huang        ,Luke.S.Huang        ,S,,,c17_led-lightbulbs
"Rosewill RL-W93001 - A19 Non-Dimmable Warm White LED Light Bulb - E26 Base, 55-Watt Replacement (4-Pack)",,,,Rosewill                                ,RL-W93001-4P        ,03-105-030               ,1.23,49.95,15,LED BULB ROSEWILL RL-W93001-4P R   ,"ROSEWILL RL-W93001, A19 Non-Dimmable LED Light Bulb, E26 Base, 8.2 W, 55 W Replace, 660 Lumen, UL CE RoHS, 3000K Warm White, Wide Beam Angle 230¡ã, 4-Pack                                                                                       ","Non-Dimmable & No mercury or lead  UL, CE, and ROHS listing  3000K Warm white  85.6% energy savings                                                                                                     ",Normal Item,HI - LED Light Bulbs                                        ,2894,Rosewill                                ,2177,RL-W93001-4P        ,898745072747,5.8,5.8,5.1,1.23,14.732,14.732,12.954,0.55791816,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,730,730,2896,HI - LED Light Bulbs,Luke.S.Huang        ,Luke.S.Huang        ,S,,,c17_led-lightbulbs
Rosewill RTRL-14001 - White Recessed LED Light with Trim ,,,,Rosewill                                ,RTRL-14001          ,03-105-033               ,2.01,43.99,11,HI ROSEWILL RTRL-14001 RTL         ,Rosewill RTRL-14001 - White Recessed LED Light with Trim - E26F15W D106-6                                                                                                                                                                       ,"230-Degree Wide Beam Angle   3000K Warm White  86.8% Energy Savings  UL, CE, and ROHS Listing; No Mercury or Lead  Non-Dimmable                                                                         ",Normal Item,HI - LED Light Bulbs                                        ,2894,Rosewill                                ,2177,RTRL-14001          ,898745073461,9.6,9.5,7,2.01,24.384,24.13,17.78,0.91171992,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,365,365,2896,HI - LED Light Bulbs,Luke.S.Huang        ,Luke.S.Huang        ,S,,,c17_led-lightbulbs
"Rosewill RL-CL3001-3P - Non-Dimmable Warm White LED Candle Light Bulb - E12 Base, 25-Watt Replacement for (3-Pack)",,,,Rosewill                                ,RL-CL3001-3P        ,03-009-935               ,0.41,24.99,5,LED BULB ROSEWILL RL-CL3001-3P RTL ,"Rosewill RL-CL3001-3P - Candle Light Non-Dimmable LED Light Bulb - E12 Base, 3 Watts (Replaces 25W Bulb) 230 Lumen, UL CE RoHS, 3000K, Warm White, 3-Pack                                                                                       ",3W E12 Base; 3-Pack   Uniform Light Output Emits Warm White Light All Around  Non-Dimmable & No Mercury or Lead  UL Safety  3000K Warm White                                                            ,Normal Item,HI - LED Light Bulbs                                        ,2894,Rosewill                                ,2177,RL-CL3001-3P        ,840951112106,4.8,4.4,1.7,0.41,12.19,11.18,4.32,0.186,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,365,365,2896,HI - LED Light Bulbs,Luke.S.Huang        ,Luke.S.Huang        ,S,,,c17_led-lightbulbs
Rosewill RFT-080 - 80mm Fan Filter                                                                                                                                                                                                              ,,,,Rosewill                                ,RFT-080             ,11-988-016               ,0.03,2.99,0,CASE ACC ROSEWILL|RFT-080 RT       ,Rosewill RFT-080 - 80mm Fan Filter                                                                                                                                                                                                              ,RFT-080  Filter for 80mm Fans                                                                                                                                                                           ,Normal Item,Accessories - Case / Rackmount                              ,255,Rosewill                                ,2177,RFT-080             ,898745030105,5.35,4.65,1.2,0.03,13.589,11.811,3.048,0.01360776,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,360,360,255,Accessories - Case / Rackmount,Howard.C.Lin        ,James.Y.Law         ,S,,,b01_Computer_Case
Rosewill RFG-120 - 120mm Fan Grill / Guard                                                                                                                                                                                                        ,,,,Rosewill                                ,RFG-120             ,11-988-017               ,0.1,2.99,0,CASE ACC ROSEWILL|RFG-120 RT       ,Rosewill RFG-120 120mm Fan Grill / Guard                                                                                                                                                                                                        ,RFG-120   Fan Grill for 120mm Fans                                                                                                                                                                      ,Normal Item,Accessories - Case / Rackmount                              ,255,Rosewill                                ,2177,RFG-120             ,898745030112,5.25,4.7,1.05,0.1,13.335,11.938,2.667,0.0453592,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,360,360,255,Accessories - Case / Rackmount,Howard.C.Lin        ,James.Y.Law         ,S,,,b01_Computer_Case
Rosewill RFG-080 - 80mm Fan Grill / Guard                                                                                                                                                                                                       ,,,,Rosewill                                ,RFG-080             ,11-988-018               ,0.01,2.99,0,CASE ACC ROSEWILL|RFG-080 RT       ,Rosewill RFG-080 - 80mm Fan Grill / Guard                                                                                                                                                                                                       ,RFG-080  Fan Grill for 80mm Fans                                                                                                                                                                        ,Normal Item,Accessories - Case / Rackmount                              ,255,Rosewill                                ,2177,RFG-080             ,898745030129,4.45,4.35,0.3,0.01,11.303,11.049,0.762,0.00453592,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,360,360,255,Accessories - Case / Rackmount,Howard.C.Lin        ,James.Y.Law         ,S,,,b01_Computer_Case
Rosewill BlackHawk-Ultra - Full Tower Gaming Computer Case - 8 Preinstalled Cooling Fans                                                                                                                     ,,,,Rosewill                                ,BLACKHAWK-ULTRA     ,11-147-157               ,42.75,219.99,30,CASE ROSEWILL|BLACKHAWK-ULTRA RT   ,"Rosewill BlackHawk-Ultra Full Tower Gaming Computer Case, support up to HPTX MB, Support Dual PSU, come with 8 cooling Fans                                                                                                                     ","Steel ATX Super Tower  2 x USB 3.0, 4 x USB 2.0  8 Fans installed  4 External 5.25""/3.5¡¯¡¯ Drive Bays  10 Internal 3.5"" Drive Bays  10 Expansion Slots                                                   ",Normal Item,Cases (Computer Cases - ATX Form)                           ,7,Rosewill                                ,2177,BLACKHAWK-ULTRA     ,898745037203,30.3,27.9,13.2,42.75,76.962,70.866,33.528,19.391058,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,365,365,7,Cases (Computer Cases - ATX Form),Fion.J.Xu           ,Fion.J.Xu           ,L,,,a01_Gaming_Case
Rosewill REDBONE - Black SECC Steel ATX Mid Tower Computer Case                                                                                                                                                                                 ,,,,Rosewill                                ,REDBONE             ,11-147-159               ,11.9,49.99,5,CASE ROSEWILL | REDBONE R          ,Rosewill REDBONE - Black SECC Steel ATX Mid Tower Computer Case                                                                                                                                                                                 ,"SECC Steel ATX Mid Tower  2 x USB 2.0, 1 x e-SATA  2 Fans pre-Installed, Support Up to 5 Fans  4 External Drive Bays  6 Internal Drive Bays  7 Expansion Slots                                          ",Normal Item,Cases (Computer Cases - ATX Form)                           ,7,Rosewill                                ,2177,REDBONE             ,898745041897,20.9,18.5,9,11.9,53.086,46.99,22.86,5.3977448,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,,44,Standard Return Policy,30,30,365,365,7,Cases (Computer Cases - ATX Form),Fion.J.Xu           ,Fion.J.Xu           ,L,,,b01_Computer_Case
